loc_name,muni,address,prov
Sparkle Cannabis Company,Hamilton,778 Concession St,Ontario
Casa Bliss,Timmins,82 Third Ave,Ontario
Canna Cabana,Toronto,79 Front St E,Ontario
Realcan Cannabis,Toronto,831 Runnymede Rd,Ontario
Highties Cannabis Store,Ottawa,769 Bank St,Ontario
Relm Cannabis Co.,Toronto,809 Gerrard St E,Ontario
True North Cannabis Co.,Listowel,780 Wallace Ave N,Ontario
Cannabis House Co.,Hamilton,800 Barton St E,Ontario
High Tea St. Thomas,St Thomas,60 Ross St,Ontario
High Street Cannabis Retail,Toronto,633 Queen St W,Ontario
Cannabis Grey Bruce,Wiarton,600 Berford St,Ontario
House Of Grass,Windsor,611 Tecumseh Rd E,Ontario
Inspired Cannabis,Timmins,681 Algonquin Blvd E,Ontario
Honeypot Smoke Shop,Niagara Falls,6832 Drummond Rd,Ontario
Mexicannabis,Toronto,73 Coxwell Ave,Ontario
Golden Harvest,North Bay,71 17 Hwy W,Ontario
Hidden Leaf Cannabis Co.,North York,701 Lawrence Ave W,Ontario
Local Products The Cannabis Store,North York,704 Wilson Ave,Ontario
Northern Lights Cannabis,Peterborough,51 Lansdowne St W,Ontario
Nitro Cannabis,St Catharines,491 Merritt St,Ontario
Hamilton Cannabis Co.,Hamilton,525 Mohawk Rd E,Ontario
Grasshopper Cannabis,Port Hope,52 Walton St,Ontario
Sessions Cannabis Retail,Toronto,518 Queen St W,Ontario
Bitz N Budz,Port Elgin,554 Goderich St,Ontario
Value Buds,Toronto,535 Queen St W,Ontario
Kryptonite Cannabis,Oshawa,555 Rossland Rd E Unit D,Ontario
Innisfil Cannabis,Innisfil,876 Innisfil Beach Rd,Ontario
Kiosk Cannabis,Toronto,985 O'Connor Dr,Ontario
Cannabis Plus Store,Thunder Bay,89 Cumberland St N,Ontario
Sessions On The Beaches,Toronto,964 Kingston Rd,Ontario
Cannadictiva,Toronto,1716 Queen St W,Ontario
Golden Tree Cannabis,Shelburne,735 Industrial Rd,Ontario
Sessions Cannabis - Timmins,Timmins,425 Algonquin Blvd E Unit 4,Ontario
Buds,Gravenhurst,255 Muskoka Rd N Unit B,Ontario
Thermodynamix Cannabis Inc.,Toronto,178 Davenport Rd,Ontario
Matchbox Cannabis,North York,6115 Steeles Ave W,Ontario
The Peace Pipe,Oshawa,31 Celina St,Ontario
Forest City Marijuana,London,1470 Dundas St,Ontario
Pure Leaf Cannabis,Nepean,2027 Robertson Rd,Ontario
Premium Cannabis ,Toronto,2934 Danforth Ave,Ontario
Take Off Cannabis,North York,338 Wilson Ave,Ontario
The Oz Store,Ottawa,294 Somerset St W,Ontario
The Hideaway ,Huntsville,6 Brunel Rd,Ontario
Green Light Cannabis Shop,St Thomas,188 Sunset Dr Suite 1,Ontario
Stash And Co.,Ottawa,391 Bank St,Ontario
Culture Rising,Milton,1248 Main St E,Ontario
Best Buds Forever,Orangeville,218 Broadway,Ontario
Toke Cannabis,Toronto,1332 Bloor St W,Ontario
Ipot,Toronto,141 Queen St E,Ontario
Value Buds,London,1631 Oxford St E Suite 4,Ontario
Borderland Cannabis,Fort Frances,401B Mowat Ave,Ontario
King'S Cannabis,Hamilton,804 King St E Suite A,Ontario
Golden Leaf Cannabis Store,Hamilton,105 George St,Ontario
Matrix Cannabis Company,Hamilton,774 Barton St E,Ontario
Mystic'S Cannabis,Hamilton,2141 King St E,Ontario
Queen George Cannabis,Hamilton,118 George St,Ontario
Laughing Hyena Cannabis,Scarborough,485 Kennedy Rd,Ontario
Spiritleaf Kingston,Kingston,27 Princess St Suite 101,Ontario
Fire & Flower Cannabis Co.,Kingston,75 Brock St,Ontario
The Niagara Herbalist,St Catharines,33 Lakeshore Rd Unit 15,Ontario
Canna Cabana,Niagara Falls,7555 Montrose Rd Unit E3,Ontario
Graffiti Cannabis Co.,Barrie,393 Yonge St Unit 2,Ontario
Canna Cabana Sudbury,Sudbury,2019 Long Lake Rd,Ontario
Ganjika House,Brampton,186 Main St S,Ontario
J. London,London,691 Richmond St Suite 5,Ontario
Superette,Ottawa,1306 Wellington St W Unit 100,Ontario
Offside Cannabis,Hamilton,1033 King St W,Ontario
Purple Moose,Oshawa,575 Laval Dr Suite 400,Ontario
Tokyo Smoke,London,666 Wonderland Rd N Unit 6B,Ontario
Tweed,London,"1025 Wellington Road, Unit A-2",Ontario
Relm Cannabis Co.,Burlington,4031 Fairview St Suite 103,Ontario
Spiritleaf 1698 Queen St W,Toronto,1698 Queen St W,Ontario
Dynasty Pot Shop,Toronto,1086 Queen St W,Ontario
Tokyo Smoke Collingwood,Collingwood,510 First St,Ontario
Canna Cabana Hamilton,Hamilton,1317 Barton Street East Unit H09,Ontario
Tokyo Smoke 333 Yonge,Toronto,333 Yonge St,Ontario
Tweed,Smiths Falls,1 Hershey Dr,Ontario
Cabbage Brothers,Hamilton,57 Cootes Dr,Ontario
Bytown Budzz,Ottawa,373 Somerset St W,Ontario
Superette,Toronto,28 Bathurst St,Ontario
Your Local Cannabis,Scarborough,1260 Kennedy Rd Unit 9,Ontario
Paramount Cannabis Company,Burlington,"1200 Brant St, Unit B-004",Ontario
Minerva Cannabis,Toronto,1050 Bathurst St,Ontario
Wavy Buds Recreational Cannabis,Scarborough,2438 Kingston Rd,Ontario
Tokyo Smoke Milton,Milton,890 Main St E Unit 8,Ontario
Fire & Flower Cannabis Co.,Toronto,480 Bloor St W,Ontario
The Cannabist Shop - King,Kitchener,201 King St W,Ontario
The Cannabist Shop - Richmond,London,533 Richmond St,Ontario
C-Shop,Embrun,753 Notre Dame St,Ontario
Kindling Cannabis,Toronto,1567 Dundas St W,Ontario
Kana Leaf,North Bay,2 Osprey Miikan Rd,Ontario
Bud'S Cannabis Store,Guelph,370 Stone Rd W Unit 4B,Ontario
One Plant Essa Road,Barrie,231 Essa Rd,Ontario
That Happy Company,Oshawa,20 Simcoe St S,Ontario
City Cannabis Co,Toronto,146 Yonge St,Ontario
Growers Retail,Scarborough,821 Brimley Rd,Ontario
Purple Moose,North York,5984 Bathurst St,Ontario
College Street Cannabis,Toronto,966 College St,Ontario
Yerba Buena Cannabis,East York,1669 Bayview Ave,Ontario
Sessions Cannabis North York,North York,4700 Dufferin St Unit 3,Ontario
1922,Toronto,120 Sherbourne St,Ontario
The 420 Store,Oshawa,14 Ontario St,Ontario
Mihi,Oshawa,"285 Taunton Road East (Five Points Shopping Centre), Unit F405",Ontario
Endless Heights Cannabis Shop,Windsor,5540 Wyandotte St E,Ontario
Dolly'S Cannabis,Toronto,1105 Bathurst St,Ontario
Grand Cannabis,Georgetown,374 Guelph St Suite 2,Ontario
City Cannabis Co,Barrie,130 Dunlop St E Suite 102,Ontario
The Cannabist Shop - Waterloo,Waterloo,380 King St N Unit 5,Ontario
The Hunny Pot Cannabis Co.,Toronto,2591 Yonge St,Ontario
Toke House,Thunder Bay,1500 James St S Suite 3,Ontario
Ybh Green,Oshawa,333 King St W Unit 3,Ontario
Friendly Stranger,Toronto,237 Queen St W,Ontario
Happy Dayz ,Barrie,79 Dunlop St W Unit B,Ontario
